test_date,net_ret,equity,n_longs,turnover,hit_rate
2020-07-09,0.012258406737792696,1.0122584067377927,41,0.8367346938775511,0.7560975609756098
2020-07-10,-0.01843387474421376,0.9935985620592108,30,0.3877551020408163,0.16666666666666666
2020-07-13,0.01963944725655694,1.0131122886129635,35,0.22448979591836735,0.9714285714285714
2020-07-14,-0.00387817205484523,1.0091832648468444,15,0.4489795918367347,0.2
2020-07-15,0.003394111910628797,1.0126085457860685,30,0.42857142857142855,0.6666666666666666
2020-07-16,-0.0034648710588611547,1.009099987741819,45,0.3469387755102041,0.4
2020-07-17,0.009288885610640025,1.0184734020976511,43,0.12244897959183673,0.627906976744186
2020-07-20,-0.003205831889338396,1.0152083475867635,33,0.32653061224489793,0.5151515151515151
2020-07-21,0.003801916106698065,1.019068084555108,36,0.3877551020408163,0.5833333333333334
2020-07-22,-0.011894044239407552,1.006947243674441,34,0.2857142857142857,0.17647058823529413
2020-07-23,0.003701266157559824,1.0106742234299013,41,0.2653061224489796,0.6097560975609756
2020-07-24,0.009994726272744012,1.0207756356440012,45,0.16326530612244897,0.8222222222222222
2020-07-27,-0.004346882676610859,1.0163384437167138,28,0.3469387755102041,0.2857142857142857
2020-07-28,0.006399781745583594,1.0228427879361468,41,0.3469387755102041,0.7317073170731707
2020-07-29,0.007040894547660834,1.0300445161448406,29,0.3673469387755102,0.8275862068965517
2020-07-30,-0.0012384323600630107,1.0287688756837414,41,0.2857142857142857,0.5609756097560976
2020-07-31,0.004366757363870256,1.0332612597473538,30,0.30612244897959184,0.6
2020-08-03,0.0069796109589369834,1.0404730213593316,28,0.24489795918367346,0.75
2020-08-04,0.0003787836190577011,1.0408671354958938,32,0.32653061224489793,0.40625
2020-08-05,0.008316204427017837,1.049523199376042,31,0.22448979591836735,0.6774193548387096
2020-08-06,0.000308029799456027,1.0498464837966703,31,0.32653061224489793,0.6451612903225806
2020-08-07,0.0018580685506702237,1.0517971705312446,36,0.30612244897959184,0.4722222222222222
2020-08-10,-0.010355460664300613,1.0409053263049857,28,0.24489795918367346,0.10714285714285714
2020-08-11,0.013228429225392581,1.0546748687443452,36,0.2857142857142857,0.8333333333333334
2020-08-12,0.0011540756398981118,1.055892043318376,22,0.6122448979591837,0.6363636363636364
2020-08-13,0.0021307233485371594,1.0581418571486092,44,0.4897959183673469,0.5909090909090909
2020-08-14,0.001416998077640592,1.05964124212606,39,0.1836734693877551,0.6153846153846154
2020-08-17,-0.0005406460549804459,1.05906835126881,39,0.20408163265306123,0.41025641025641024
2020-08-18,-0.005232326436750072,1.0535269599361408,33,0.20408163265306123,0.21212121212121213
2020-08-19,0.00782986551126454,1.061775934344932,36,0.2653061224489796,0.8055555555555556
2020-08-20,0.0031781020792143373,1.0651503666495334,35,0.2653061224489796,0.6
2020-08-21,0.005648365383156984,1.0711667251083736,28,0.3469387755102041,0.6785714285714286
2020-08-24,0.004448180115447765,1.07593146763533,25,0.3877551020408163,0.68
2020-08-25,0.007564219838109838,1.0840700497872637,29,0.32653061224489793,0.7586206896551724
