THRESHOLD,VOL_SCALE_WEIGHTS,SECTOR_CAP_PCT,MAX_POSITIONS,REBALANCE_EVERY,TRAIN_WINDOW_DAYS,COST_BPS,EXCLUDE_TICKERS,days,sharpe,mean_daily_ret_%,vol_daily_%,max_drawdown_%,avg_turnover_%,avg_n_longs,avg_hit_rate_%,overall_ret_%
0.5,True,0.35,80,1,504,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.2986199101191949,0.014738179301640607,0.7837773410981229,-15.552768467260425,52.72714429957639,72.16949152542372,51.660079075350374,16.38050305490757
0.5,True,1.0,80,1,504,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.2986199101191949,0.014738179301640607,0.7837773410981229,-15.552768467260425,52.72714429957639,72.16949152542372,51.660079075350374,16.38050305490757
0.5,True,0.25,80,5,504,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.2970866285477625,0.014514703095804129,0.7758766463071308,-15.492189011263813,52.62471283334189,72.09938366718028,51.62840641413329,16.131661085430117
0.5,True,0.35,80,5,504,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.2970866285477625,0.014514703095804129,0.7758766463071308,-15.492189011263813,52.62471283334189,72.09938366718028,51.62840641413329,16.131661085430117
0.5,True,1.0,80,5,504,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.2970866285477625,0.014514703095804129,0.7758766463071308,-15.492189011263813,52.62471283334189,72.09938366718028,51.62840641413329,16.131661085430117
0.6,False,0.35,40,1,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.29227112363595653,0.01293471330024568,0.7028109613508976,-19.672779849003525,7.24043065065802,1.1517719568567026,53.86891298543497,14.567099622124058
0.6,False,0.25,40,1,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.2918558828306194,0.0129060705373913,0.7022523663879325,-19.672779849003554,7.238178750047511,1.1456086286594762,53.899060224080976,14.53020431577514
0.6,False,1.0,40,1,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.2912219956693351,0.012888425541249322,0.7028187218490989,-19.672779849003525,7.24043065065802,1.1517719568567026,53.84231724075411,14.498214458696879
0.6,True,1.0,20,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.2906181241920328,0.011584299266696388,0.6330160211139574,-12.883733455045046,7.468914020430158,0.8721109399075501,53.07592722053922,13.245408673370562
0.6,True,0.35,20,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.2886639293197658,0.011365270329180674,0.6252516978472432,-12.964751963658516,7.476705005426481,0.8682588597842835,53.091125055945795,12.991906602418378
