date,ticker,pe,pb,ps,roe,roa,gross_margin,oper_margin,market_cap,shares,debt_to_equity
2023-12-31,AAPL,,,,,,,,,,
2024-06-30,AAPL,153.83367392064528,,38.46514378271564,,0.06467799717742422,0.462571551814589,0.29555708406682446,3299424638250.0,15222259000.0,
2024-09-30,AAPL,239.02084269815418,,37.1032459496471,,0.04037481505835936,0.4622247972190035,0.31171389444854103,3522211138000.0,15116786000.0,
2024-12-31,AAPL,103.65495126740518,,30.29593225699783,,0.10558437595361611,0.4688254223652454,0.34458567980691873,3765784379544.83,15037874000.0,
2025-03-31,AAPL,133.9172765898254,,34.7997579032485,,0.07481138654663032,0.47050619238876246,0.31029058610094484,3318470113895.874,14939315000.0,
2025-06-30,AAPL,130.0739790704331,,32.414752068745265,,0.07069186563899908,0.4649070568718363,0.2999064188183249,3048153625536.5293,14856722000.0,
2024-02-29,ADBE,,,,,,,,,,
2024-05-31,ADBE,126.95311149699023,,37.614851080196956,,0.05242110174292665,0.8873610849500848,0.35505744961386326,199697244384.76562,449000000.0,
2024-08-31,ADBE,150.89833148584796,,46.98831180143638,,0.05645323499832384,0.8975591715976331,0.3683431952662722,254112790222.16797,445000000.0,
2024-11-30,ADBE,135.26096576547877,,40.6072432007315,,0.0556731723453523,0.8901177310024974,0.34909026043524793,227644205383.30078,441000000.0,
2025-02-28,ADBE,105.31672433528375,,33.37917181855073,,0.06045735269571023,0.8911445572278613,0.3785439271963598,190728587771.19885,434897366.0,
2025-05-31,ADBE,101.86386599278464,,29.329439365537006,,0.06016294873163269,0.8913672739656053,0.35910097054316364,172251797393.79883,427000000.0,
2024-01-31,AMAT,,,,,,,,,,
2024-04-30,AMAT,,,,,,,,,,
2024-07-31,AMAT,102.6032521746149,,25.809758772162645,,0.05067316551252712,0.4728533490705223,0.28651519622307464,174938544957.71838,824404088.0,
2024-10-31,AMAT,85.80730300277455,,21.08338417286057,,0.050306605829870094,0.47338537970191624,0.29041873669268986,148532441497.80273,818000000.0,
2025-01-31,AMAT,123.6487021737514,,20.44707118000215,,0.035545023696682464,0.487859335752163,0.3035166061959252,146523712075.89542,812440849.0,
2025-04-30,AMAT,56.5954663883652,,17.03443826365302,,0.063540675547098,0.4908450704225352,0.3054929577464789,120944511671.93645,802498217.0,
2025-07-31,AMAT,80.63149716733682,,19.64440337725174,,0.05200081845020607,0.48781155847712954,0.30580662832100797,143443433460.6922,796642427.0,
2023-12-31,AMD,,,,,,,,,,
2024-03-31,AMD,,,,,,,,,,
2024-06-30,AMD,962.8015998120577,,43.72620804630596,,0.003903603099313555,0.4908311910882605,0.04610111396743787,255142423950.1953,1618000000.0,
2024-09-30,AMD,345.3979805081735,,39.05291728578997,,0.011071859383077719,0.5013931661533949,0.1061739257955712,266301842971.80176,1623000000.0,
2024-12-31,AMD,406.4758951970651,,25.583883714414384,,0.006962701875018057,0.5069208670671194,0.1380255941499086,195921381484.98535,1622000000.0,
2025-03-31,AMD,235.37977666615552,,22.436711704262475,,0.009909154437456325,0.5022855606345792,0.10836246302769562,166884261656.30426,1624335849.0,
2025-06-30,AMD,263.9470069955249,,29.949484723500017,,0.01165463779738038,0.39804814573845154,-0.017436564736499675,230161790100.09766,1622000000.0,
2024-01-31,AVGO,,,,,,,,,,
2024-04-30,AVGO,,,,,,,,,,
2024-07-31,AVGO,-400.28599775390626,,57.415563478318106,,-0.011162973458914304,0.6392288861689106,0.31295899632802937,750536245788.5742,4671000000.0,
2024-10-31,AVGO,183.9829417254283,,56.60610787112224,,0.026104017628060007,0.6405293866514872,0.3518571225273943,795542240020.752,4686000000.0,
2025-01-31,AVGO,189.06261313630955,,69.75137839160038,,0.033279309135330615,0.6801421292571735,0.43121480289621883,1040411560089.1113,4702000000.0,
2025-04-30,AVGO,182.31347749062775,,60.329673136561375,,0.03015853732612525,0.6796187683284457,0.3942282058117835,905186415740.9668,4703000000.0,
2025-07-31,AVGO,334.98827479265736,,86.93903320220672,,0.02499683011212346,0.6709503510531595,0.38076730190571717,1386851457641.6016,4722000000.0,
2024-01-31,CRM,,,,,,,,,,
2024-04-30,CRM,,,,,,,,,,
2024-07-31,CRM,173.49922204735063,,26.587709201679793,,0.01550227815144283,0.7684718498659517,0.2018230563002681,247930388305.66406,958000000.0,
2024-10-31,CRM,182.41631652392354,,29.4948872651452,,0.0167076973576235,0.7771071579839052,0.2063744176196527,278549715332.03125,956000000.0,
2025-01-31,CRM,192.45633006040052,,32.89456737147644,,0.016594124047878127,0.7781447012909036,0.21194836385469829,328715411743.16406,962000000.0,
2025-04-30,CRM,167.0500790486469,,26.190270812286588,,0.015627218334854476,0.7695594668837115,0.20124122494658664,257424171813.96484,958000000.0,
2025-07-31,CRM,130.73934137600088,,24.101713284145532,,0.019339366423088353,0.780969128565846,0.22821414615084018,246705137176.51367,955000000.0,
2024-01-31,CSCO,,,,,,,,,,
2024-04-30,CSCO,,,,,,,,,,
2024-07-31,CSCO,89.79609299588269,,14.230989082033307,,0.017377605234179708,0.6436739481014514,0.20011728485559302,194139153057.0984,4007000000.0,
2024-10-31,CSCO,80.28623453307003,,15.725452049646185,,0.021981140489568892,0.6589841774438263,0.2184090744888375,217655981819.15283,3974000000.0,
2025-01-31,CSCO,99.26120013656491,,17.225801867742092,,0.02000411946446962,0.6512043456507755,0.2232149238796369,241006193931.5796,3977000000.0,
2025-04-30,CSCO,91.77470822451058,,16.157382019030027,,0.02079611293850495,0.6557353876599052,0.22870874266732633,228610798187.25586,3960000000.0,
